brand,model,issue_type,part_name,tier,price,labor,compatible_models,warranty,turnaround,source_hub
Vivo,Vivo V27,Buttons/Flex,Power/Volume Flex,Premium (OEM),850,350,,12 months,1 hour,Dharampeth Hub
Vivo,Vivo V27,Buttons/Flex,Power/Volume Flex,Standard (HQ),450,350,,6 months,1 hour,Rahul Bazar
Vivo,Vivo V27,Buttons/Flex,Power/Volume Flex,Compatible (Budget),250,350,Universal Vivo family,1-3 months,1 hour,Rahul Bazar
Vivo,Vivo V27,Water damage,Water Damage Service,Premium (OEM),1700,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V27,Water damage,Water Damage Service,Standard (HQ),950,1000,,Testing Only,5-6 hours,Telipura Market
Vivo,Vivo V27,Water damage,Water Damage Service,Compatible (Budget),500,1000,,,5-6 hours,Rahul Bazar
Vivo,Vivo V25,Screen,Display Assembly,Premium (OEM),7000,800,,12 months,1-2 hours,Telipura Market
Vivo,Vivo V25,Screen,Display Assembly,Standard (HQ),3850,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Screen,Display Assembly,Compatible (Budget),2100,800,,1 month,1-2 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Battery,Li-ion Battery,Premium (OEM),2100,400,,12 months,45 mins,Telipura Market
Vivo,Vivo V25,Battery,Li-ion Battery,Standard (HQ),1150,400,,6 months,45 mins,Telipura Market
Vivo,Vivo V25,Battery,Li-ion Battery,Compatible (Budget),650,400,,1-3 months,45 mins,Dharampeth Hub
Vivo,Vivo V25,Charging port,USB/Charging Sub-board,Premium (OEM),1050,400,,12 months,1 hour,Rahul Bazar
Vivo,Vivo V25,Charging port,USB/Charging Sub-board,Standard (HQ),600,400,,6 months,1 hour,Rahul Bazar
Vivo,Vivo V25,Charging port,USB/Charging Sub-board,Compatible (Budget),300,400,Universal Vivo family,1-3 months,1 hour,Telipura Market
Vivo,Vivo V25,Back Glass,Rear Panel,Premium (OEM),1750,500,,12 months,2-3 hours,Dharampeth Hub
Vivo,Vivo V25,Back Glass,Rear Panel,Standard (HQ),950,500,,6 months,2-3 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Back Glass,Rear Panel,Compatible (Budget),500,500,,,2-3 hours,Dharampeth Hub
Vivo,Vivo V25,Camera,Camera Module,Premium (OEM),4200,500,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Camera,Camera Module,Standard (HQ),2300,500,,6 months,1-2 hours,Dharampeth Hub
Vivo,Vivo V25,Camera,Camera Module,Compatible (Budget),1250,500,,1-3 months,1-2 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),700,350,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),400,350,,6 months,45 mins,Telipura Market
Vivo,Vivo V25,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),200,350,Universal Vivo family,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Motherboard,Logic Board Repair,Premium (OEM),5600,2000,,12 months,1-2 days,Rahul Bazar
Vivo,Vivo V25,Motherboard,Logic Board Repair,Standard (HQ),3100,2000,,6 months,1-2 days,Telipura Market
Vivo,Vivo V25,Motherboard,Logic Board Repair,Compatible (Budget),1700,2000,,1-3 months,1-2 days,Telipura Market
Vivo,Vivo V25,Buttons/Flex,Power/Volume Flex,Premium (OEM),700,350,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Vivo,Vivo V25,Buttons/Flex,Power/Volume Flex,Standard (HQ),400,350,,6 months,1 hour,Dharampeth Hub
Vivo,Vivo V25,Buttons/Flex,Power/Volume Flex,Compatible (Budget),200,350,Universal Vivo family,1-3 months,1 hour,Rahul Bazar
Vivo,Vivo V25,Water damage,Water Damage Service,Premium (OEM),1400,1000,,Testing Only,5-6 hours,Telipura Market
Vivo,Vivo V25,Water damage,Water Damage Service,Standard (HQ),750,1000,,Testing Only,5-6 hours,Dharampeth Hub
Vivo,Vivo V25,Water damage,Water Damage Service,Compatible (Budget),400,1000,,,5-6 hours,Dharampeth Hub
Vivo,Vivo Y22,Screen,Display Assembly,Premium (OEM),3500,800,,12 months,1-2 hours,Dharampeth Hub
Vivo,Vivo Y22,Screen,Display Assembly,Standard (HQ),1950,800,,6 months,1-2 hours,Telipura Market
Vivo,Vivo Y22,Screen,Display Assembly,Compatible (Budget),1050,800,,1 month,1-2 hours,Rahul Bazar
Vivo,Vivo Y22,Battery,Li-ion Battery,Premium (OEM),1050,400,,12 months,45 mins,Dharampeth Hub
Vivo,Vivo Y22,Battery,Li-ion Battery,Standard (HQ),600,400,,6 months,45 mins,Telipura Market
Vivo,Vivo Y22,Battery,Li-ion Battery,Compatible (Budget),300,400,,1-3 months,45 mins,Dharampeth Hub
Vivo,Vivo Y22,Charging port,USB/Charging Sub-board,Premium (OEM),500,400,,12 months,1 hour,Telipura Market
Vivo,Vivo Y22,Charging port,USB/Charging Sub-board,Standard (HQ),300,400,,6 months,1 hour,Rahul Bazar
Vivo,Vivo Y22,Charging port,USB/Charging Sub-board,Compatible (Budget),150,400,Universal Vivo family,1-3 months,1 hour,Telipura Market
Vivo,Vivo Y22,Back Glass,Rear Panel,Premium (OEM),900,500,,12 months,2-3 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Back Glass,Rear Panel,Standard (HQ),500,500,,6 months,2-3 hours,Dharampeth Hub
Vivo,Vivo Y22,Back Glass,Rear Panel,Compatible (Budget),250,500,,,2-3 hours,Dharampeth Hub
Vivo,Vivo Y22,Camera,Camera Module,Premium (OEM),2100,500,,12 months,1-2 hours,Rahul Bazar
Vivo,Vivo Y22,Camera,Camera Module,Standard (HQ),1150,500,,6 months,1-2 hours,Rahul Bazar
Vivo,Vivo Y22,Camera,Camera Module,Compatible (Budget),650,500,,1-3 months,1-2 hours,Telipura Market
Vivo,Vivo Y22,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),350,350,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),200,350,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),100,350,Universal Vivo family,1-3 months,45 mins,Rahul Bazar
Vivo,Vivo Y22,Motherboard,Logic Board Repair,Premium (OEM),2800,2000,,12 months,1-2 days,Dharampeth Hub
Vivo,Vivo Y22,Motherboard,Logic Board Repair,Standard (HQ),1550,2000,,6 months,1-2 days,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Motherboard,Logic Board Repair,Compatible (Budget),850,2000,,1-3 months,1-2 days,Telipura Market
Vivo,Vivo Y22,Buttons/Flex,Power/Volume Flex,Premium (OEM),350,350,,12 months,1 hour,Telipura Market
Vivo,Vivo Y22,Buttons/Flex,Power/Volume Flex,Standard (HQ),200,350,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Buttons/Flex,Power/Volume Flex,Compatible (Budget),100,350,Universal Vivo family,1-3 months,1 hour,Rahul Bazar
Vivo,Vivo Y22,Water damage,Water Damage Service,Premium (OEM),700,1000,,Testing Only,5-6 hours,Dharampeth Hub
Vivo,Vivo Y22,Water damage,Water Damage Service,Standard (HQ),400,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Vivo,Vivo Y22,Water damage,Water Damage Service,Compatible (Budget),200,1000,,,5-6 hours,Rahul Bazar
Oppo,Oppo Reno 10,Screen,Display Assembly,Premium (OEM),9500,800,,12 months,1-2 hours,Telipura Market
Oppo,Oppo Reno 10,Screen,Display Assembly,Standard (HQ),5200,800,,6 months,1-2 hours,Dharampeth Hub
Oppo,Oppo Reno 10,Screen,Display Assembly,Compatible (Budget),2850,800,,1 month,1-2 hours,Rahul Bazar
Oppo,Oppo Reno 10,Battery,Li-ion Battery,Premium (OEM),2850,400,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Battery,Li-ion Battery,Standard (HQ),1550,400,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Battery,Li-ion Battery,Compatible (Budget),850,400,,1-3 months,45 mins,Telipura Market
Oppo,Oppo Reno 10,Charging port,USB/Charging Sub-board,Premium (OEM),1400,400,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Charging port,USB/Charging Sub-board,Standard (HQ),800,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Charging port,USB/Charging Sub-board,Compatible (Budget),450,400,Universal Oppo family,1-3 months,1 hour,Rahul Bazar
Oppo,Oppo Reno 10,Back Glass,Rear Panel,Premium (OEM),2400,500,,12 months,2-3 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Back Glass,Rear Panel,Standard (HQ),1300,500,,6 months,2-3 hours,Telipura Market
Oppo,Oppo Reno 10,Back Glass,Rear Panel,Compatible (Budget),700,500,,,2-3 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Camera,Camera Module,Premium (OEM),5700,500,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Camera,Camera Module,Standard (HQ),3150,500,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Camera,Camera Module,Compatible (Budget),1700,500,,1-3 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),950,350,,12 months,45 mins,Dharampeth Hub
Oppo,Oppo Reno 10,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),500,350,,6 months,45 mins,Rahul Bazar
Oppo,Oppo Reno 10,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),300,350,Universal Oppo family,1-3 months,45 mins,Rahul Bazar
Oppo,Oppo Reno 10,Motherboard,Logic Board Repair,Premium (OEM),7600,2000,,12 months,1-2 days,Dharampeth Hub
Oppo,Oppo Reno 10,Motherboard,Logic Board Repair,Standard (HQ),4200,2000,,6 months,1-2 days,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Motherboard,Logic Board Repair,Compatible (Budget),2300,2000,,1-3 months,1-2 days,Telipura Market
Oppo,Oppo Reno 10,Buttons/Flex,Power/Volume Flex,Premium (OEM),950,350,,12 months,1 hour,Telipura Market
Oppo,Oppo Reno 10,Buttons/Flex,Power/Volume Flex,Standard (HQ),500,350,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Buttons/Flex,Power/Volume Flex,Compatible (Budget),300,350,Universal Oppo family,1-3 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Water damage,Water Damage Service,Premium (OEM),1900,1000,,Testing Only,5-6 hours,Rahul Bazar
Oppo,Oppo Reno 10,Water damage,Water Damage Service,Standard (HQ),1050,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 10,Water damage,Water Damage Service,Compatible (Budget),550,1000,,,5-6 hours,Dharampeth Hub
Oppo,Oppo Reno 8,Screen,Display Assembly,Premium (OEM),8000,800,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 8,Screen,Display Assembly,Standard (HQ),4400,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 8,Screen,Display Assembly,Compatible (Budget),2400,800,,1 month,1-2 hours,Telipura Market
Oppo,Oppo Reno 8,Battery,Li-ion Battery,Premium (OEM),2400,400,,12 months,45 mins,Dharampeth Hub
Oppo,Oppo Reno 8,Battery,Li-ion Battery,Standard (HQ),1300,400,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 8,Battery,Li-ion Battery,Compatible (Budget),700,400,,1-3 months,45 mins,Telipura Market
Oppo,Oppo Reno 8,Charging port,USB/Charging Sub-board,Premium (OEM),1200,400,,12 months,1 hour,Rahul Bazar
Oppo,Oppo Reno 8,Charging port,USB/Charging Sub-board,Standard (HQ),650,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo Reno 8,Charging port,USB/Charging Sub-board,Compatible (Budget),350,400,Universal Oppo family,1-3 months,1 hour,Rahul Bazar
Oppo,Oppo Reno 8,Back Glass,Rear Panel,Premium (OEM),2000,500,,12 months,2-3 hours,Dharampeth Hub
Oppo,Oppo Reno 8,Back Glass,Rear Panel,Standard (HQ),1100,500,,6 months,2-3 hours,Telipura Market
Oppo,Oppo Reno 8,Back Glass,Rear Panel,Compatible (Budget),600,500,,,2-3 hours,Telipura Market
Oppo,Oppo Reno 8,Camera,Camera Module,Premium (OEM),4800,500,,12 months,1-2 hours,Rahul Bazar
Oppo,Oppo Reno 8,Camera,Camera Module,Standard (HQ),2650,500,,6 months,1-2 hours,Telipura Market
Oppo,Oppo Reno 8,Camera,Camera Module,Compatible (Budget),1450,500,,1-3 months,1-2 hours,Rahul Bazar
Oppo,Oppo Reno 8,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),800,350,,12 months,45 mins,Rahul Bazar
Oppo,Oppo Reno 8,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),450,350,,6 months,45 mins,Dharampeth Hub
Oppo,Oppo Reno 8,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),250,350,Universal Oppo family,1-3 months,45 mins,Telipura Market
Oppo,Oppo Reno 8,Motherboard,Logic Board Repair,Premium (OEM),6400,2000,,12 months,1-2 days,Dharampeth Hub
Oppo,Oppo Reno 8,Motherboard,Logic Board Repair,Standard (HQ),3500,2000,,6 months,1-2 days,Rahul Bazar
Oppo,Oppo Reno 8,Motherboard,Logic Board Repair,Compatible (Budget),1900,2000,,1-3 months,1-2 days,Telipura Market
Oppo,Oppo Reno 8,Buttons/Flex,Power/Volume Flex,Premium (OEM),800,350,,12 months,1 hour,Rahul Bazar
Oppo,Oppo Reno 8,Buttons/Flex,Power/Volume Flex,Standard (HQ),450,350,,6 months,1 hour,Telipura Market
Oppo,Oppo Reno 8,Buttons/Flex,Power/Volume Flex,Compatible (Budget),250,350,Universal Oppo family,1-3 months,1 hour,Telipura Market
Oppo,Oppo Reno 8,Water damage,Water Damage Service,Premium (OEM),1600,1000,,Testing Only,5-6 hours,Dharampeth Hub
Oppo,Oppo Reno 8,Water damage,Water Damage Service,Standard (HQ),900,1000,,Testing Only,5-6 hours,Rahul Bazar
Oppo,Oppo Reno 8,Water damage,Water Damage Service,Compatible (Budget),500,1000,,,5-6 hours,Rahul Bazar
Oppo,Oppo F21 Pro,Screen,Display Assembly,Premium (OEM),6500,800,,12 months,1-2 hours,Rahul Bazar
Oppo,Oppo F21 Pro,Screen,Display Assembly,Standard (HQ),3600,800,,6 months,1-2 hours,Rahul Bazar
Oppo,Oppo F21 Pro,Screen,Display Assembly,Compatible (Budget),1950,800,,1 month,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo F21 Pro,Battery,Li-ion Battery,Premium (OEM),1950,400,,12 months,45 mins,Dharampeth Hub
Oppo,Oppo F21 Pro,Battery,Li-ion Battery,Standard (HQ),1050,400,,6 months,45 mins,Dharampeth Hub
Oppo,Oppo F21 Pro,Battery,Li-ion Battery,Compatible (Budget),600,400,,1-3 months,45 mins,Rahul Bazar
Oppo,Oppo F21 Pro,Charging port,USB/Charging Sub-board,Premium (OEM),1000,400,,12 months,1 hour,Rahul Bazar
Oppo,Oppo F21 Pro,Charging port,USB/Charging Sub-board,Standard (HQ),550,400,,6 months,1 hour,Dharampeth Hub
Oppo,Oppo F21 Pro,Charging port,USB/Charging Sub-board,Compatible (Budget),300,400,Universal Oppo family,1-3 months,1 hour,Dharampeth Hub
Oppo,Oppo F21 Pro,Back Glass,Rear Panel,Premium (OEM),1600,500,,12 months,2-3 hours,Dharampeth Hub
Oppo,Oppo F21 Pro,Back Glass,Rear Panel,Standard (HQ),900,500,,6 months,2-3 hours,Dharampeth Hub
Oppo,Oppo F21 Pro,Back Glass,Rear Panel,Compatible (Budget),500,500,,,2-3 hours,Dharampeth Hub
Oppo,Oppo F21 Pro,Camera,Camera Module,Premium (OEM),3900,500,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo F21 Pro,Camera,Camera Module,Standard (HQ),2150,500,,6 months,1-2 hours,Telipura Market
Oppo,Oppo F21 Pro,Camera,Camera Module,Compatible (Budget),1150,500,,1-3 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo F21 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),650,350,,12 months,45 mins,Dharampeth Hub
Oppo,Oppo F21 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),350,350,,6 months,45 mins,Telipura Market
Oppo,Oppo F21 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),200,350,Universal Oppo family,1-3 months,45 mins,Rahul Bazar
Oppo,Oppo F21 Pro,Motherboard,Logic Board Repair,Premium (OEM),5200,2000,,12 months,1-2 days,Telipura Market
Oppo,Oppo F21 Pro,Motherboard,Logic Board Repair,Standard (HQ),2850,2000,,6 months,1-2 days,Rahul Bazar
Oppo,Oppo F21 Pro,Motherboard,Logic Board Repair,Compatible (Budget),1550,2000,,1-3 months,1-2 days,Dharampeth Hub
Oppo,Oppo F21 Pro,Buttons/Flex,Power/Volume Flex,Premium (OEM),650,350,,12 months,1 hour,Telipura Market
Oppo,Oppo F21 Pro,Buttons/Flex,Power/Volume Flex,Standard (HQ),350,350,,6 months,1 hour,Rahul Bazar
Oppo,Oppo F21 Pro,Buttons/Flex,Power/Volume Flex,Compatible (Budget),200,350,Universal Oppo family,1-3 months,1 hour,Telipura Market
Oppo,Oppo F21 Pro,Water damage,Water Damage Service,Premium (OEM),1300,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo F21 Pro,Water damage,Water Damage Service,Standard (HQ),700,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo F21 Pro,Water damage,Water Damage Service,Compatible (Budget),400,1000,,,5-6 hours,Dharampeth Hub
Oppo,Oppo A78,Screen,Display Assembly,Premium (OEM),4000,800,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Screen,Display Assembly,Standard (HQ),2200,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Screen,Display Assembly,Compatible (Budget),1200,800,,1 month,1-2 hours,Rahul Bazar
Oppo,Oppo A78,Battery,Li-ion Battery,Premium (OEM),1200,400,,12 months,45 mins,Telipura Market
Oppo,Oppo A78,Battery,Li-ion Battery,Standard (HQ),650,400,,6 months,45 mins,Dharampeth Hub
Oppo,Oppo A78,Battery,Li-ion Battery,Compatible (Budget),350,400,,1-3 months,45 mins,Telipura Market
Oppo,Oppo A78,Charging port,USB/Charging Sub-board,Premium (OEM),600,400,,12 months,1 hour,Telipura Market
Oppo,Oppo A78,Charging port,USB/Charging Sub-board,Standard (HQ),350,400,,6 months,1 hour,Rahul Bazar
Oppo,Oppo A78,Charging port,USB/Charging Sub-board,Compatible (Budget),200,400,Universal Oppo family,1-3 months,1 hour,Dharampeth Hub
Oppo,Oppo A78,Back Glass,Rear Panel,Premium (OEM),1000,500,,12 months,2-3 hours,Dharampeth Hub
Oppo,Oppo A78,Back Glass,Rear Panel,Standard (HQ),550,500,,6 months,2-3 hours,Dharampeth Hub
Oppo,Oppo A78,Back Glass,Rear Panel,Compatible (Budget),300,500,,,2-3 hours,Dharampeth Hub
Oppo,Oppo A78,Camera,Camera Module,Premium (OEM),2400,500,,12 months,1-2 hours,Telipura Market
Oppo,Oppo A78,Camera,Camera Module,Standard (HQ),1300,500,,6 months,1-2 hours,Rahul Bazar
Oppo,Oppo A78,Camera,Camera Module,Compatible (Budget),700,500,,1-3 months,1-2 hours,Rahul Bazar
Oppo,Oppo A78,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),400,350,,12 months,45 mins,Telipura Market
Oppo,Oppo A78,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),200,350,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),100,350,Universal Oppo family,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Motherboard,Logic Board Repair,Premium (OEM),3200,2000,,12 months,1-2 days,Rahul Bazar
Oppo,Oppo A78,Motherboard,Logic Board Repair,Standard (HQ),1750,2000,,6 months,1-2 days,Telipura Market
Oppo,Oppo A78,Motherboard,Logic Board Repair,Compatible (Budget),950,2000,,1-3 months,1-2 days,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Buttons/Flex,Power/Volume Flex,Premium (OEM),400,350,,12 months,1 hour,Dharampeth Hub
Oppo,Oppo A78,Buttons/Flex,Power/Volume Flex,Standard (HQ),200,350,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Buttons/Flex,Power/Volume Flex,Compatible (Budget),100,350,Universal Oppo family,1-3 months,1 hour,Dharampeth Hub
Oppo,Oppo A78,Water damage,Water Damage Service,Premium (OEM),800,1000,,Testing Only,5-6 hours,Dharampeth Hub
Oppo,Oppo A78,Water damage,Water Damage Service,Standard (HQ),450,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo A78,Water damage,Water Damage Service,Compatible (Budget),250,1000,,,5-6 hours,Telipura Market
Oppo,Oppo A77,Screen,Display Assembly,Premium (OEM),3500,800,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo A77,Screen,Display Assembly,Standard (HQ),1950,800,,6 months,1-2 hours,Dharampeth Hub
Oppo,Oppo A77,Screen,Display Assembly,Compatible (Budget),1050,800,,1 month,1-2 hours,Telipura Market
Oppo,Oppo A77,Battery,Li-ion Battery,Premium (OEM),1050,400,,12 months,45 mins,Dharampeth Hub
Oppo,Oppo A77,Battery,Li-ion Battery,Standard (HQ),600,400,,6 months,45 mins,Dharampeth Hub
Oppo,Oppo A77,Battery,Li-ion Battery,Compatible (Budget),300,400,,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Oppo,Oppo A77,Charging port,USB/Charging Sub-board,Premium (OEM),500,400,,12 months,1 hour,Rahul Bazar
Oppo,Oppo A77,Charging port,USB/Charging Sub-board,Standard (HQ),300,400,,6 months,1 hour,Dharampeth Hub
Oppo,Oppo A77,Charging port,USB/Charging Sub-board,Compatible (Budget),150,400,Universal Oppo family,1-3 months,1 hour,Telipura Market
Oppo,Oppo A77,Back Glass,Rear Panel,Premium (OEM),900,500,,12 months,2-3 hours,"Modi No. 3, Sitabuldi"
Oppo,Oppo A77,Back Glass,Rear Panel,Standard (HQ),500,500,,6 months,2-3 hours,Rahul Bazar
Oppo,Oppo A77,Back Glass,Rear Panel,Compatible (Budget),250,500,,,2-3 hours,Rahul Bazar
Oppo,Oppo A77,Camera,Camera Module,Premium (OEM),2100,500,,12 months,1-2 hours,Rahul Bazar
Oppo,Oppo A77,Camera,Camera Module,Standard (HQ),1150,500,,6 months,1-2 hours,Dharampeth Hub
Oppo,Oppo A77,Camera,Camera Module,Compatible (Budget),650,500,,1-3 months,1-2 hours,Dharampeth Hub
Oppo,Oppo A77,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),350,350,,12 months,45 mins,Telipura Market
Oppo,Oppo A77,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),200,350,,6 months,45 mins,Telipura Market
Oppo,Oppo A77,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),100,350,Universal Oppo family,1-3 months,45 mins,Telipura Market
Oppo,Oppo A77,Motherboard,Logic Board Repair,Premium (OEM),2800,2000,,12 months,1-2 days,Rahul Bazar
Oppo,Oppo A77,Motherboard,Logic Board Repair,Standard (HQ),1550,2000,,6 months,1-2 days,Rahul Bazar
Oppo,Oppo A77,Motherboard,Logic Board Repair,Compatible (Budget),850,2000,,1-3 months,1-2 days,Telipura Market
Oppo,Oppo A77,Buttons/Flex,Power/Volume Flex,Premium (OEM),350,350,,12 months,1 hour,Dharampeth Hub
Oppo,Oppo A77,Buttons/Flex,Power/Volume Flex,Standard (HQ),200,350,,6 months,1 hour,Dharampeth Hub
Oppo,Oppo A77,Buttons/Flex,Power/Volume Flex,Compatible (Budget),100,350,Universal Oppo family,1-3 months,1 hour,"Modi No. 3, Sitabuldi"
Oppo,Oppo A77,Water damage,Water Damage Service,Premium (OEM),700,1000,,Testing Only,5-6 hours,Rahul Bazar
Oppo,Oppo A77,Water damage,Water Damage Service,Standard (HQ),400,1000,,Testing Only,5-6 hours,Dharampeth Hub
Oppo,Oppo A77,Water damage,Water Damage Service,Compatible (Budget),200,1000,,,5-6 hours,Telipura Market
Realme,Realme 11 Pro,Screen,Display Assembly,Premium (OEM),8500,800,,12 months,1-2 hours,Telipura Market
Realme,Realme 11 Pro,Screen,Display Assembly,Standard (HQ),4700,800,,6 months,1-2 hours,Dharampeth Hub
Realme,Realme 11 Pro,Screen,Display Assembly,Compatible (Budget),2550,800,,1 month,1-2 hours,Telipura Market
Realme,Realme 11 Pro,Battery,Li-ion Battery,Premium (OEM),2550,400,,12 months,45 mins,Rahul Bazar
Realme,Realme 11 Pro,Battery,Li-ion Battery,Standard (HQ),1400,400,,6 months,45 mins,Dharampeth Hub
Realme,Realme 11 Pro,Battery,Li-ion Battery,Compatible (Budget),750,400,,1-3 months,45 mins,Telipura Market
Realme,Realme 11 Pro,Charging port,USB/Charging Sub-board,Premium (OEM),1300,400,,12 months,1 hour,Rahul Bazar
Realme,Realme 11 Pro,Charging port,USB/Charging Sub-board,Standard (HQ),700,400,,6 months,1 hour,Rahul Bazar
Realme,Realme 11 Pro,Charging port,USB/Charging Sub-board,Compatible (Budget),400,400,Universal Realme family,1-3 months,1 hour,Rahul Bazar
Realme,Realme 11 Pro,Back Glass,Rear Panel,Premium (OEM),2100,500,,12 months,2-3 hours,Rahul Bazar
Realme,Realme 11 Pro,Back Glass,Rear Panel,Standard (HQ),1150,500,,6 months,2-3 hours,Dharampeth Hub
Realme,Realme 11 Pro,Back Glass,Rear Panel,Compatible (Budget),650,500,,,2-3 hours,"Modi No. 3, Sitabuldi"
Realme,Realme 11 Pro,Camera,Camera Module,Premium (OEM),5100,500,,12 months,1-2 hours,Telipura Market
Realme,Realme 11 Pro,Camera,Camera Module,Standard (HQ),2800,500,,6 months,1-2 hours,Rahul Bazar
Realme,Realme 11 Pro,Camera,Camera Module,Compatible (Budget),1550,500,,1-3 months,1-2 hours,"Modi No. 3, Sitabuldi"
Realme,Realme 11 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),850,350,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Realme,Realme 11 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),450,350,,6 months,45 mins,Dharampeth Hub
Realme,Realme 11 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),250,350,Universal Realme family,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Realme,Realme 11 Pro,Motherboard,Logic Board Repair,Premium (OEM),6800,2000,,12 months,1-2 days,Telipura Market
Realme,Realme 11 Pro,Motherboard,Logic Board Repair,Standard (HQ),3750,2000,,6 months,1-2 days,"Modi No. 3, Sitabuldi"
